Altitude_ft,Density_slug_ft3,Motor,Prop,Voltage_V,Thrust_g,RPM,InputPower_W,Reason,Feasible,Meets_30ft,S_TO_ft,T_TO_s,V_pitch_mph,V_stall_mph,V_max_mph,V_cruise_mph,n_turn,V_turn_mph,R_turn_ft,Lap_time_s,First_lap_s,N_laps_5min,Mission_energy_Wh,MotorProp_lb,Battery_lb,Total_lb
0,0.0023768499253347276,V505 KV260,P16*5.8,47.16,7500.0,10606,1990.36,OK,True,False,66.15860691330104,2.8209040760705775,58.25263598111111,26.651681575273543,44.31817,39.886353,1.2,36.2045358,132.11667841811837,65.45408212287757,73.27498619894814,4,41.30468072779761,,0.7114150408290403,29.49405514082904
0,0.0023768499253347276,V505 KV261,P17*5.8,46.93,8741.0,10075,2483.87,OK,True,False,55.95170202561115,2.387129885818997,55.33615948611112,26.638084504946743,43.636352,39.272716800000005,1.3,36.44243487609203,106.8927487279649,59.853767035844086,67.24089692166308,4,39.557850733037135,,0.6813283506489712,29.463968450648974
0,0.0023768499253347276,V602 KV180,V22*7.4,46.81,9749.0,5700,1989.62,OK,True,False,48.21948982324482,2.073355061284664,39.94317116666667,26.427878555424574,30.681810000000002,27.613629000000003,1.0,30.681810000000002,62939.0190837322,17625.272491836127,17632.345846897413,0,1.1458857491758867,,0.01973627062771987,29.000792170627722
0,0.0023768499253347276,V605 KV210,V22*7.4,46.6,12761.0,7036,3182.62,OK,True,False,38.2629513294951,1.6242233814358862,49.305289882222226,26.773359908426354,42.272716,38.04544440000001,1.3,36.62712592023783,107.97896375283143,61.10120593034547,67.72542931178135,4,40.33650678382191,,0.6947396061386676,29.76398030613867
0,0.0023768499253347276,V804 KV170,G26*8.5,46.0,16015.5,5928,4147.46,OK,True,False,31.751101904963384,1.3312360625979693,47.71589636666667,27.108820056094167,41.590898,37.4318082,1.3,37.08291469773504,110.68306999405092,62.003106987449144,68.33434305004711,4,42.31252810753812,,0.7287737946596927,30.514515994659693
0,0.0023768499253347276,V804 KV170,G27*8.8,45.68,17271.5,5546,4837.44,OK,True,True,29.378414763047257,1.231547648416372,46.21665434222223,27.111909856703733,40.90908,36.818172000000004,1.3,37.08918351473131,110.7204948061727,62.614594650033496,68.84614229844986,4,42.71641271045603,,0.7357301389822309,30.52147233898223
0,0.0023768499253347276,V804 KV170,G28*9.2,45.53,17357.91,5380,5177.43,OK,True,True,29.221951657555607,1.2250393602524123,46.87119962222222,27.11070031696132,41.590898,37.4318082,1.3,37.08764945873168,110.7113359134386,62.00637218799278,68.23141154824519,4,42.558301725003176,,0.7330068996013789,30.51874909960138
0,0.0023768499253347276,V807 KV170,G27*8.8,45.52,19849.0,5785,5308.27,OK,True,True,26.04847064460196,1.0856573796077107,48.20832047777778,27.273208058624242,43.636352,39.272716800000005,1.4,38.71256230083865,102.26481469041661,57.355770548495606,63.441427928103316,5,52.344499472253354,,0.9015603939571809,30.88571839395718
0,0.0023768499253347276,V807 KV170,G28*9.2,45.34,20721.0,5649,5647.55,OK,True,True,24.918175244871662,1.0385554809962534,49.21475960333333,27.272958523134417,44.31817,39.886353,1.5,40.071040658856624,96.02056429040772,54.719121928460076,60.75767740945633,5,52.31168555802151,,0.9009952204291044,30.885153220429107
0,0.0023768499253347276,V807 KV170,G29*9.5,44.71,20997.0,5200,6782.02,OK,True,True,24.604190204596495,1.025228628021036,46.78029055555556,27.27996982284877,42.272716,38.04544440000001,1.4,38.72138000720708,102.31140648133145,58.48099756177662,64.50622618979766,5,53.23378568825186,,0.9168770984690139,30.901035098469016
0,0.0023768499253347276,V10 KV160,G29*9.5,45.23,25171.0,5539,6084.92,OK,True,True,20.60306255615121,0.856640022465866,49.83000565138889,27.338793303180058,45.681806,41.113625400000004,1.6,41.4850740544522,92.12541512966098,52.19430292962338,58.05094295208925,5,52.65936776252769,,0.9069835574736232,31.034441857473624
0,0.0023768499253347276,V10 KV160,G30*10.5,44.82,27976.0,5318,6988.97,OK,True,True,18.545866229631837,0.7705386188492356,52.87782680833333,27.347690252132413,49.090896,44.1818064,1.8,44.03392753895473,86.61814034019513,47.718072135204594,53.48861075405383,5,53.83232608199866,,0.927186115053874,31.054644415053875
0,0.0023768499253347276,V10L KV170,G29*9.5,44.53,28869.0,5888,7673.5,OK,True,True,18.031002093810553,0.7484131024401172,52.96968284444444,27.381662195970446,49.090896,44.1818064,1.8,44.077118215524045,86.78814247357974,47.73460325762905,53.483016360069165,4,43.59463918440408,,0.750856354990007,31.131845954990006
0,0.0023768499253347276,V10L KV170,G30*10.5,44.08,31798.0,5651,8650.57,OK,True,True,16.380135265811987,0.6794488537234763,56.18890547083333,27.393939700571586,52.499986,47.2499874,2.0,46.49156540387733,83.43451181467738,44.23625955309021,49.915708406813685,4,45.21592187822957,,0.7787806694623629,31.159770269462364
0,0.0023768499253347276,VL5009 KV170,DZ17*6.2,45.6,8624.0,9665,2357.0,OK,True,False,56.973063683898665,2.428571850911728,56.74525001944445,26.66136236120013,44.999988,40.4999892,1.3,36.47444995191086,107.08064411297997,58.823656819403084,66.2522286703148,4,39.34892479598832,,0.6777298951854043,29.515485495185406
0,0.0023768499253347276,VL6011 KV180,P22*6.6,43.7,9992.0,7011,2364.0,OK,True,False,46.65514995677704,2.00941972614008,43.818738315000004,26.652352687119517,35.454536000000004,31.909082400000006,1.1,33.20654786929141,160.87769242703916,84.24482217000964,91.25424189614972,3,35.630922260647694,,0.6136925299552274,29.49554052995523
